Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/43157/;Последние залпы;no eng title;1961;91;СССР;драма;Леон Сааков;Юрий Назаров, Валентина Куценко;6,0;440
https://www.kinopoisk.ru//film/95322/;Последний поезд;no eng title;2003;82;Россия;драма;Алексей Герман мл.;Павел Романов, Пётр Меркурьев;6,4;1006
https://www.kinopoisk.ru//film/43170/;Постарайся остаться живым...;no eng title;1986;68;СССР;военный;Геннадий Иванов;Евгений Меньшов, Илона Бальсите;6,2;3082
https://www.kinopoisk.ru//film/40947/;Праздник;no eng title;2001;89;Россия;драма;Гарик Сукачев;Маша Оамер, Александр Балуев;6,6;1429
https://www.kinopoisk.ru//film/43270/;Пришел солдат с фронта;no eng title;1972;86;СССР;драма;Николай Губенко;Михаил Глузский, Ирина Мирошниченко;7,1;1174
https://www.kinopoisk.ru//film/43332/;Проверка на дорогах;no eng title;1971;97;СССР;драма;Алексей Герман;Ролан Быков, Анатолий Солоницын;8,0;30534
https://www.kinopoisk.ru//film/43330/;Прощай;no eng title;1966;89;СССР;приключения;Григорий Поженян;Виктор Авдюшко, Валентин Кулик;6,6;665
https://www.kinopoisk.ru//film/420465/;Пядь земли;no eng title;1964;83;СССР;драма;Андрей Смирнов;Александр Збруев, Эллия Суханова;6,8;964
https://www.kinopoisk.ru//film/43378/;Пятнадцатая весна;no eng title;1972;95;СССР;драма;Инна Туманян;Раймундас Банионис, Татьяна Друбич;6,6;544
https://www.kinopoisk.ru//film/42037/;Радуга;no eng title;1943;93;СССР;драма;Марк Донской;Нина Алисова, Наталия Ужвий;7,5;1925
https://www.kinopoisk.ru//film/42073/;Разведчики;no eng title;1968;80;СССР;приключения;Игорь Самборский;Иван Миколайчук, Леонид Быков;7,2;7842
https://www.kinopoisk.ru//film/46705/;Разгром немецких войск под Москвой;no eng title;1942;66;СССР;документальный;Илья Копалин;Эдвард Г. Робинсон;7,5;2521
https://www.kinopoisk.ru//film/42110/;Родная кровь;no eng title;1963;90;СССР;драма;Михаил Ершов;Евгений Матвеев, Вия Артмане;8,0;4840
https://www.kinopoisk.ru//film/43624/;Сашка;no eng title;1981;90;СССР;военный;Александр Сурин;Андрей Ташков, Марина Яковлева;7,3;1737
https://www.kinopoisk.ru//film/79882/;Свои;no eng title;2004;105;Россия;боевик;Дмитрий Месхиев;Богдан Ступка, Сергей Гармаш;7,4;27356
https://www.kinopoisk.ru//film/43655/;Секретарь райкома;no eng title;1942;91;СССР;драма;Иван Пырьев;Василий Ванин, Михаил Астангов;6,2;659
https://www.kinopoisk.ru//series/280179/;Секретный фарватер;no eng title;1986;272;СССР;приключения;Вадим Костроменко;Анатолий Котенёв, Лариса Гузеева;7,9;11735
https://www.kinopoisk.ru//series/89540/;Семнадцать мгновений весны;no eng title;1973;69;СССР;военный;Татьяна Лиознова;Вячеслав Тихонов, Леонид Броневой;8,9;129831
https://www.kinopoisk.ru//film/43788/;Сильные духом;no eng title;1967;183;СССР;приключения;Виктор Георгиев;Гунар Цилинский, Иван Переверзев;7,1;1801
https://www.kinopoisk.ru//film/43857/;Случай с Полыниным;no eng title;1970;98;СССР;драма;Алексей Сахаров;Анастасия Вертинская, Олег Ефремов;7,0;1577
